"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Fish","201393",,"Pacific Ocean","Asia","Asia"
"Fish","201394",,"Pacific Ocean","Asia","Asia"
"Fish","201395",,"Pacific Ocean","Asia","Asia"
"Fish","201396",,"Pacific Ocean","Asia","Asia"
"Fish","201397",,"Pacific Ocean","Asia","Asia"
"Fish","201398",,"Pacific Ocean","Asia","Asia"
"Fish","201399",,"Pacific Ocean","Asia","Asia"
"Fish","201400",,"Pacific Ocean","Asia","Asia"
"Fish","201401",,"Pacific Ocean","Asia","Asia"
"Fish","201402",,"Pacific Ocean","Asia","Asia"
"Fish","201403",,"Pacific Ocean","Asia","Asia"
"Fish","201390",,"Pacific Ocean","Asia","Asia"
"Fish","201487",,"Pacific Ocean","Asia","Asia"
"Fish","201475",,"Pacific Ocean","Asia","Asia"
"Fish","201480",,"Pacific Ocean","Asia","Asia"
"Fish","201479",,"Pacific Ocean","Asia","Asia"
"Fish","201481",,"Pacific Ocean","Asia","Asia"
"Fish","201494",,"Pacific Ocean","Asia","Asia"
"Fish","201493",,"Pacific Ocean","Asia","Asia"
"Fish","201492",,"Pacific Ocean","Asia","Asia"
"Fish","201491",,"Pacific Ocean","Asia","Asia"
"Fish","201432",,"Pacific Ocean","Asia","Asia"
"Fish","201490",,"Pacific Ocean","Asia","Asia"
"Fish","201420",,"Pacific Ocean","Asia","Asia"
"Fish","201469",,"Pacific Ocean","Asia","Asia"
"Fish","201488",,"Pacific Ocean","Asia","Asia"
"Fish","201468",,"Pacific Ocean","Asia","Asia"
"Fish","201486",,"Pacific Ocean","Asia","Asia"
"Fish","201485",,"Pacific Ocean","Asia","Asia"
"Fish","201484",,"Pacific Ocean","Asia","Asia"
"Fish","201478",,"Pacific Ocean","Asia","Asia"
"Fish","201472",,"Pacific Ocean","Asia","Asia"
"Fish","201483",,"Pacific Ocean","Asia","Asia"
"Fish","201473",,"Pacific Ocean","Asia","Asia"
"Fish","201482",,"Pacific Ocean","Asia","Asia"
"Fish","201477",,"Pacific Ocean","Asia","Asia"
"Fish","201476",,"Pacific Ocean","Asia","Asia"
"Fish","201474",,"Pacific Ocean","Asia","Asia"
"Fish","201489",,"Pacific Ocean","Asia","Asia"
"Fish","201446",,"Pacific Ocean","Asia","Asia"
"Fish","201433",,"Pacific Ocean","Asia","Asia"
"Fish","201434",,"Pacific Ocean","Asia","Asia"
"Fish","201435",,"Pacific Ocean","Asia","Asia"
"Fish","201436",,"Pacific Ocean","Asia","Asia"
"Fish","201437",,"Pacific Ocean","Asia","Asia"
"Fish","201438",,"Pacific Ocean","Asia","Asia"
"Fish","201439",,"Pacific Ocean","Asia","Asia"
"Fish","201440",,"Pacific Ocean","Asia","Asia"
"Fish","201441",,"Pacific Ocean","Asia","Asia"
"Fish","201442",,"Pacific Ocean","Asia","Asia"
"Fish","201443",,"Pacific Ocean","Asia","Asia"
"Fish","201470",,"Pacific Ocean","Asia","Asia"
"Fish","201445",,"Pacific Ocean","Asia","Asia"
"Fish","201471",,"Pacific Ocean","Asia","Asia"
"Fish","201447",,"Pacific Ocean","Asia","Asia"
